Date,total_consumption_kWh,peak_load_kWh,avg_load_kWh,overloaded_hours,critical_hours,low_load_hours,peak_hours,daily_maintenance_pressure,rolling_30d_pressure,rolling_30d_overloaded_hours
2022-05-16,56143908.921000004,2907231.5100000002,2339329.538375,0,0,2,0,10.981352759889258,288.29720706868903,0.0
2022-05-17,54840656.135,2642359.326,2285027.3389583332,0,0,0,0,10.291671155054313,290.6283969591277,0.0
2022-05-18,56705227.466,2719646.876,2362717.811083333,0,0,0,0,10.943388498965554,293.68264752438813,0.0
2022-05-19,56176164.562,2732753.6319999998,2340673.523416667,0,0,0,0,10.811809446366269,294.50711641785244,0.0
2022-05-20,53334526.397,2636891.647,2222271.9332083333,0,0,0,0,9.74748965566203,294.1303189654367,0.0
2022-05-21,47843555.985,2479833.02,1993481.499375,0,0,0,0,7.875888748248253,291.6975473115255,0.0
2022-05-22,44616846.825,2140833.196,1859035.284375,0,0,7,0,6.798434046582794,288.42648259765247,0.0
2022-05-23,57240960.221,3011833.296,2385040.009208333,0,0,3,0,11.491766389455806,292.25973239851965,0.0
2022-05-24,56147516.265,2691258.948,2339479.844375,0,0,0,0,10.773199495141553,294.9354636048095,0.0
2022-05-25,54726017.551,2782947.114,2280250.7312916666,0,0,0,0,10.32944947808944,294.9732381775157,0.0
2022-05-26,48969520.986,2266319.0949999997,2040396.70775,0,0,0,0,8.064472376057433,292.4625951639423,0.0
2022-05-27,50150649.779,2449754.677,2089610.4074583333,0,0,2,0,8.613728133648236,290.49001005104697,0.0
2022-05-28,46588762.734,2275907.325,1941198.44725,0,0,0,0,7.378870548489452,287.32748430253145,0.0
2022-05-29,43064261.183,2223760.262,1794344.2159583333,0,0,7,0,6.391626245075738,283.7671057265276,0.0
2022-05-30,53273163.373,2628873.144,2219715.1405416667,0,0,5,0,9.83398370048617,286.13662215258864,0.0
2022-05-31,54745957.345,2657453.401,2281081.556041667,0,0,0,0,10.280236651070615,289.1386924032966,0.0
2022-06-01,54975462.566,2642924.466,2290644.2735833335,0,0,0,0,10.321160992311583,288.85259786344176,0.0
2022-06-02,57510241.42,2946352.489,2396260.0591666666,0,0,0,0,11.456601186302969,289.56988082374073,0.0
2022-06-03,53757828.503,2692568.766,2239909.5209583333,0,0,0,0,9.906856258390393,288.6345835915752,0.0
2022-06-04,45645849.115,2183775.95,1901910.3797916668,0,0,5,0,7.089595588085739,284.6225905927379,0.0
2022-06-05,43597625.437,2026132.075,1816567.7265416665,0,0,7,0,6.4254872537748975,280.62540118112724,0.0
2022-06-06,48142783.002000004,2298539.85,2005949.29175,0,0,4,0,7.92157048800961,281.2134837426325,0.0
2022-06-07,55179179.706,2848049.638,2299132.48775,0,0,2,0,10.657048425430034,284.8083986343131,0.0
2022-06-08,54283741.910000004,2642488.56,2261822.5795833333,0,0,0,0,10.105925043850759,284.5667896230644,0.0
2022-06-09,54259054.784,2679084.649,2260793.9493333334,0,0,0,0,10.144405057411365,283.3602971211288,0.0
2022-06-10,51438357.965,2563179.669,2143264.9152083336,0,0,0,0,9.130960964616467,281.2843620132144,0.0
2022-06-11,45039928.899000004,2229554.954,1876663.7041250002,0,0,8,0,6.9968026460966435,275.42726780021,0.0
2022-06-12,44855717.262,2291626.3910000003,1868988.21925,0,0,7,0,7.00524349634822,272.95972570945764,0.0
2022-06-13,53465463.058,2840826.031,2227727.6274166666,0,0,5,0,9.992907769174849,274.68971814514396,0.0
