TimeUTC,TimeDK,RegionName,ConsumerCategory2,ConsumerCategory3,ConsumptionkWh
2025-12-31T18:00:00,2025-12-31T19:00:00,Region Syddanmark,Privat,Privat,412645.215
2025-12-31T17:00:00,2025-12-31T18:00:00,Region Hovedstaden,Erhverv,Erhverv,586278.712
2025-12-31T17:00:00,2025-12-31T18:00:00,Region Hovedstaden,Erhverv,Offentlige foretagender,96332.425
2025-12-31T17:00:00,2025-12-31T18:00:00,Region Hovedstaden,Privat,Privat,571737.461
2025-12-31T17:00:00,2025-12-31T18:00:00,Region Midtjylland,Erhverv,Erhverv,542499.6
2025-12-31T17:00:00,2025-12-31T18:00:00,Region Midtjylland,Erhverv,Offentlige foretagender,55163.709
2025-12-31T17:00:00,2025-12-31T18:00:00,Region Midtjylland,Privat,Privat,512093.948
2025-12-31T17:00:00,2025-12-31T18:00:00,Region Nordjylland,Erhverv,Erhverv,294579.813
2025-12-31T17:00:00,2025-12-31T18:00:00,Region Nordjylland,Erhverv,Offentlige foretagender,28913.868
2025-12-31T17:00:00,2025-12-31T18:00:00,Region Nordjylland,Privat,Privat,258517.084
2025-12-31T17:00:00,2025-12-31T18:00:00,Region Sjælland,Erhverv,Erhverv,330703.112
2025-12-31T17:00:00,2025-12-31T18:00:00,Region Sjælland,Erhverv,Offentlige foretagender,40875.693
2025-12-31T17:00:00,2025-12-31T18:00:00,Region Sjælland,Privat,Privat,411673.098
2025-12-31T17:00:00,2025-12-31T18:00:00,Region Syddanmark,Erhverv,Erhverv,638501.44
2025-12-31T17:00:00,2025-12-31T18:00:00,Region Syddanmark,Erhverv,Offentlige foretagender,52500.524
2025-12-31T17:00:00,2025-12-31T18:00:00,Region Syddanmark,Privat,Privat,477264.875
2025-12-31T16:00:00,2025-12-31T17:00:00,Region Hovedstaden,Erhverv,Erhverv,589810.022
2025-12-31T16:00:00,2025-12-31T17:00:00,Region Hovedstaden,Erhverv,Offentlige foretagender,99620.118
2025-12-31T16:00:00,2025-12-31T17:00:00,Region Hovedstaden,Privat,Privat,562658.666
2025-12-31T16:00:00,2025-12-31T17:00:00,Region Midtjylland,Erhverv,Erhverv,539363.121
2025-12-31T16:00:00,2025-12-31T17:00:00,Region Midtjylland,Erhverv,Offentlige foretagender,56978.921
2025-12-31T16:00:00,2025-12-31T17:00:00,Region Midtjylland,Privat,Privat,514265.605
2025-12-31T16:00:00,2025-12-31T17:00:00,Region Nordjylland,Erhverv,Erhverv,284573.522
2025-12-31T16:00:00,2025-12-31T17:00:00,Region Nordjylland,Erhverv,Offentlige foretagender,29733.637
2025-12-31T16:00:00,2025-12-31T17:00:00,Region Nordjylland,Privat,Privat,261848.276
2025-12-31T16:00:00,2025-12-31T17:00:00,Region Sjælland,Erhverv,Erhverv,342597.134
2025-12-31T16:00:00,2025-12-31T17:00:00,Region Sjælland,Erhverv,Offentlige foretagender,42104.563
2025-12-31T16:00:00,2025-12-31T17:00:00,Region Sjælland,Privat,Privat,411194.939
2025-12-31T16:00:00,2025-12-31T17:00:00,Region Syddanmark,Erhverv,Erhverv,640335.472
2025-12-31T16:00:00,2025-12-31T17:00:00,Region Syddanmark,Erhverv,Offentlige foretagender,54691.23
2025-12-31T16:00:00,2025-12-31T17:00:00,Region Syddanmark,Privat,Privat,490477.126
2025-12-31T15:00:00,2025-12-31T16:00:00,Region Hovedstaden,Erhverv,Erhverv,609588.415
2025-12-31T15:00:00,2025-12-31T16:00:00,Region Hovedstaden,Erhverv,Offentlige foretagender,101715.338
2025-12-31T15:00:00,2025-12-31T16:00:00,Region Hovedstaden,Privat,Privat,531842.507
2025-12-31T15:00:00,2025-12-31T16:00:00,Region Midtjylland,Erhverv,Erhverv,548631.064
2025-12-31T15:00:00,2025-12-31T16:00:00,Region Midtjylland,Erhverv,Offentlige foretagender,57764.704
2025-12-31T15:00:00,2025-12-31T16:00:00,Region Midtjylland,Privat,Privat,470945.711
2025-12-31T15:00:00,2025-12-31T16:00:00,Region Nordjylland,Erhverv,Erhverv,284761.805
2025-12-31T15:00:00,2025-12-31T16:00:00,Region Nordjylland,Erhverv,Offentlige foretagender,30173.978
2025-12-31T15:00:00,2025-12-31T16:00:00,Region Nordjylland,Privat,Privat,239752.428
2025-12-31T15:00:00,2025-12-31T16:00:00,Region Sjælland,Erhverv,Erhverv,352762.451
2025-12-31T15:00:00,2025-12-31T16:00:00,Region Sjælland,Erhverv,Offentlige foretagender,41457.832
2025-12-31T15:00:00,2025-12-31T16:00:00,Region Sjælland,Privat,Privat,382621.242
2025-12-31T15:00:00,2025-12-31T16:00:00,Region Syddanmark,Erhverv,Erhverv,660955.902
2025-12-31T15:00:00,2025-12-31T16:00:00,Region Syddanmark,Erhverv,Offentlige foretagender,54528.467
2025-12-31T15:00:00,2025-12-31T16:00:00,Region Syddanmark,Privat,Privat,440828.866
2025-12-31T14:00:00,2025-12-31T15:00:00,Region Hovedstaden,Erhverv,Erhverv,647899.447
2025-12-31T14:00:00,2025-12-31T15:00:00,Region Hovedstaden,Erhverv,Offentlige foretagender,94064.023
2025-12-31T14:00:00,2025-12-31T15:00:00,Region Hovedstaden,Privat,Privat,489398.238
2025-12-31T14:00:00,2025-12-31T15:00:00,Region Midtjylland,Erhverv,Erhverv,556216.966
2025-12-31T14:00:00,2025-12-31T15:00:00,Region Midtjylland,Erhverv,Offentlige foretagender,51320.567
2025-12-31T14:00:00,2025-12-31T15:00:00,Region Midtjylland,Privat,Privat,424880.461
2025-12-31T14:00:00,2025-12-31T15:00:00,Region Nordjylland,Erhverv,Erhverv,289540.995
2025-12-31T14:00:00,2025-12-31T15:00:00,Region Nordjylland,Erhverv,Offentlige foretagender,26901.882
2025-12-31T14:00:00,2025-12-31T15:00:00,Region Nordjylland,Privat,Privat,216632.437
2025-12-31T14:00:00,2025-12-31T15:00:00,Region Sjælland,Erhverv,Erhverv,364956.594
2025-12-31T14:00:00,2025-12-31T15:00:00,Region Sjælland,Erhverv,Offentlige foretagender,36056.356
2025-12-31T14:00:00,2025-12-31T15:00:00,Region Sjælland,Privat,Privat,345277.632
2025-12-31T14:00:00,2025-12-31T15:00:00,Region Syddanmark,Erhverv,Erhverv,657882.109
2025-12-31T14:00:00,2025-12-31T15:00:00,Region Syddanmark,Erhverv,Offentlige foretagender,48526.48
2025-12-31T14:00:00,2025-12-31T15:00:00,Region Syddanmark,Privat,Privat,388124.843
2025-12-31T13:00:00,2025-12-31T14:00:00,Region Hovedstaden,Erhverv,Erhverv,672972.375
2025-12-31T13:00:00,2025-12-31T14:00:00,Region Hovedstaden,Erhverv,Offentlige foretagender,92926.525
