TimeUTC,TimeDK,HousingCategory,HeatingCategory,ConsumptionkWh
2025-12-31T14:00:00,2025-12-31T15:00:00,Ukendt,Andet,135170.489
2025-12-31T14:00:00,2025-12-31T15:00:00,Ukendt,Elvarme eller varmepumpe,86993.845
2025-12-31T13:00:00,2025-12-31T14:00:00,Andet,Andet,75847.805
2025-12-31T13:00:00,2025-12-31T14:00:00,Andet,Elvarme eller varmepumpe,10050.309
2025-12-31T13:00:00,2025-12-31T14:00:00,Etageejendom,Andet,238112.975
2025-12-31T13:00:00,2025-12-31T14:00:00,Etageejendom,Elvarme eller varmepumpe,7662.423
2025-12-31T13:00:00,2025-12-31T14:00:00,Fritidshuse,Andet,10611.919
2025-12-31T13:00:00,2025-12-31T14:00:00,Fritidshuse,Elvarme eller varmepumpe,151921.094
2025-12-31T13:00:00,2025-12-31T14:00:00,Parcel- og rækkehuse,Andet,656418.648
2025-12-31T13:00:00,2025-12-31T14:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,400674.344
2025-12-31T13:00:00,2025-12-31T14:00:00,Ukendt,Andet,129673.279
2025-12-31T13:00:00,2025-12-31T14:00:00,Ukendt,Elvarme eller varmepumpe,80328.274
2025-12-31T12:00:00,2025-12-31T13:00:00,Andet,Andet,73196.56
2025-12-31T12:00:00,2025-12-31T13:00:00,Andet,Elvarme eller varmepumpe,9842.291
2025-12-31T12:00:00,2025-12-31T13:00:00,Etageejendom,Andet,234658.988
2025-12-31T12:00:00,2025-12-31T13:00:00,Etageejendom,Elvarme eller varmepumpe,7607.204
2025-12-31T12:00:00,2025-12-31T13:00:00,Fritidshuse,Andet,10376.976
2025-12-31T12:00:00,2025-12-31T13:00:00,Fritidshuse,Elvarme eller varmepumpe,149058.243
2025-12-31T12:00:00,2025-12-31T13:00:00,Parcel- og rækkehuse,Andet,646072.393
2025-12-31T12:00:00,2025-12-31T13:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,384617.596
2025-12-31T12:00:00,2025-12-31T13:00:00,Ukendt,Andet,127854.095
2025-12-31T12:00:00,2025-12-31T13:00:00,Ukendt,Elvarme eller varmepumpe,76854.216
2025-12-31T11:00:00,2025-12-31T12:00:00,Andet,Andet,73497.986
2025-12-31T11:00:00,2025-12-31T12:00:00,Andet,Elvarme eller varmepumpe,9983.139
2025-12-31T11:00:00,2025-12-31T12:00:00,Etageejendom,Andet,230424.035
2025-12-31T11:00:00,2025-12-31T12:00:00,Etageejendom,Elvarme eller varmepumpe,7597.859
2025-12-31T11:00:00,2025-12-31T12:00:00,Fritidshuse,Andet,10621.471
2025-12-31T11:00:00,2025-12-31T12:00:00,Fritidshuse,Elvarme eller varmepumpe,152744.338
2025-12-31T11:00:00,2025-12-31T12:00:00,Parcel- og rækkehuse,Andet,638171.536
2025-12-31T11:00:00,2025-12-31T12:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,387522.787
2025-12-31T11:00:00,2025-12-31T12:00:00,Ukendt,Andet,126176.537
2025-12-31T11:00:00,2025-12-31T12:00:00,Ukendt,Elvarme eller varmepumpe,78315.838
2025-12-31T10:00:00,2025-12-31T11:00:00,Andet,Andet,74981.143
2025-12-31T10:00:00,2025-12-31T11:00:00,Andet,Elvarme eller varmepumpe,10452.673
2025-12-31T10:00:00,2025-12-31T11:00:00,Etageejendom,Andet,220736.236
2025-12-31T10:00:00,2025-12-31T11:00:00,Etageejendom,Elvarme eller varmepumpe,7737.622
2025-12-31T10:00:00,2025-12-31T11:00:00,Fritidshuse,Andet,11115.446
2025-12-31T10:00:00,2025-12-31T11:00:00,Fritidshuse,Elvarme eller varmepumpe,161623.741
2025-12-31T10:00:00,2025-12-31T11:00:00,Parcel- og rækkehuse,Andet,619885.352
2025-12-31T10:00:00,2025-12-31T11:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,401816.148
2025-12-31T10:00:00,2025-12-31T11:00:00,Ukendt,Andet,121672.351
2025-12-31T10:00:00,2025-12-31T11:00:00,Ukendt,Elvarme eller varmepumpe,82462.278
2025-12-31T09:00:00,2025-12-31T10:00:00,Andet,Andet,77514.16
2025-12-31T09:00:00,2025-12-31T10:00:00,Andet,Elvarme eller varmepumpe,11056.157
2025-12-31T09:00:00,2025-12-31T10:00:00,Etageejendom,Andet,206739.727
2025-12-31T09:00:00,2025-12-31T10:00:00,Etageejendom,Elvarme eller varmepumpe,7880.16
2025-12-31T09:00:00,2025-12-31T10:00:00,Fritidshuse,Andet,11728.538
2025-12-31T09:00:00,2025-12-31T10:00:00,Fritidshuse,Elvarme eller varmepumpe,172180.639
2025-12-31T09:00:00,2025-12-31T10:00:00,Parcel- og rækkehuse,Andet,599144.717
2025-12-31T09:00:00,2025-12-31T10:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,424016.877
2025-12-31T09:00:00,2025-12-31T10:00:00,Ukendt,Andet,117049.027
2025-12-31T09:00:00,2025-12-31T10:00:00,Ukendt,Elvarme eller varmepumpe,87161.666
2025-12-31T08:00:00,2025-12-31T09:00:00,Andet,Andet,77990.566
2025-12-31T08:00:00,2025-12-31T09:00:00,Andet,Elvarme eller varmepumpe,11265.327
2025-12-31T08:00:00,2025-12-31T09:00:00,Etageejendom,Andet,183939.391
2025-12-31T08:00:00,2025-12-31T09:00:00,Etageejendom,Elvarme eller varmepumpe,7697.149
2025-12-31T08:00:00,2025-12-31T09:00:00,Fritidshuse,Andet,11918.137
2025-12-31T08:00:00,2025-12-31T09:00:00,Fritidshuse,Elvarme eller varmepumpe,175434.11
2025-12-31T08:00:00,2025-12-31T09:00:00,Parcel- og rækkehuse,Andet,566824.457
2025-12-31T08:00:00,2025-12-31T09:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,435503.533
2025-12-31T08:00:00,2025-12-31T09:00:00,Ukendt,Andet,109445.562
2025-12-31T08:00:00,2025-12-31T09:00:00,Ukendt,Elvarme eller varmepumpe,87482.402
2025-12-31T07:00:00,2025-12-31T08:00:00,Andet,Andet,72515.858
2025-12-31T07:00:00,2025-12-31T08:00:00,Andet,Elvarme eller varmepumpe,10566.92
2025-12-31T07:00:00,2025-12-31T08:00:00,Etageejendom,Andet,147862.861
2025-12-31T07:00:00,2025-12-31T08:00:00,Etageejendom,Elvarme eller varmepumpe,7063.776
2025-12-31T07:00:00,2025-12-31T08:00:00,Fritidshuse,Andet,10991.349
2025-12-31T07:00:00,2025-12-31T08:00:00,Fritidshuse,Elvarme eller varmepumpe,159209.961
2025-12-31T07:00:00,2025-12-31T08:00:00,Parcel- og rækkehuse,Andet,481660.41
2025-12-31T07:00:00,2025-12-31T08:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,407957.665
2025-12-31T07:00:00,2025-12-31T08:00:00,Ukendt,Andet,91972.784
2025-12-31T07:00:00,2025-12-31T08:00:00,Ukendt,Elvarme eller varmepumpe,81022.962
2025-12-31T06:00:00,2025-12-31T07:00:00,Andet,Andet,65192.598
2025-12-31T06:00:00,2025-12-31T07:00:00,Andet,Elvarme eller varmepumpe,9643.417
2025-12-31T06:00:00,2025-12-31T07:00:00,Etageejendom,Andet,114072.689
2025-12-31T06:00:00,2025-12-31T07:00:00,Etageejendom,Elvarme eller varmepumpe,6438.627
2025-12-31T06:00:00,2025-12-31T07:00:00,Fritidshuse,Andet,9744.289
2025-12-31T06:00:00,2025-12-31T07:00:00,Fritidshuse,Elvarme eller varmepumpe,140495.41
2025-12-31T06:00:00,2025-12-31T07:00:00,Parcel- og rækkehuse,Andet,388759.283
2025-12-31T06:00:00,2025-12-31T07:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,378155.697
2025-12-31T06:00:00,2025-12-31T07:00:00,Ukendt,Andet,74219.748
2025-12-31T06:00:00,2025-12-31T07:00:00,Ukendt,Elvarme eller varmepumpe,75981.784
2025-12-31T05:00:00,2025-12-31T06:00:00,Andet,Andet,61225.292
2025-12-31T05:00:00,2025-12-31T06:00:00,Andet,Elvarme eller varmepumpe,9268.953
2025-12-31T05:00:00,2025-12-31T06:00:00,Etageejendom,Andet,96560.571
2025-12-31T05:00:00,2025-12-31T06:00:00,Etageejendom,Elvarme eller varmepumpe,6233.78
2025-12-31T05:00:00,2025-12-31T06:00:00,Fritidshuse,Andet,9239.368
2025-12-31T05:00:00,2025-12-31T06:00:00,Fritidshuse,Elvarme eller varmepumpe,132867.715
2025-12-31T05:00:00,2025-12-31T06:00:00,Parcel- og rækkehuse,Andet,350906.133
2025-12-31T05:00:00,2025-12-31T06:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,367248.92
2025-12-31T05:00:00,2025-12-31T06:00:00,Ukendt,Andet,66846.899
2025-12-31T05:00:00,2025-12-31T06:00:00,Ukendt,Elvarme eller varmepumpe,74038.833
2025-12-31T04:00:00,2025-12-31T05:00:00,Andet,Andet,63396.913
2025-12-31T04:00:00,2025-12-31T05:00:00,Andet,Elvarme eller varmepumpe,9590.023
2025-12-31T04:00:00,2025-12-31T05:00:00,Etageejendom,Andet,91469.728
2025-12-31T04:00:00,2025-12-31T05:00:00,Etageejendom,Elvarme eller varmepumpe,6177.33
2025-12-31T04:00:00,2025-12-31T05:00:00,Fritidshuse,Andet,9258.156
2025-12-31T04:00:00,2025-12-31T05:00:00,Fritidshuse,Elvarme eller varmepumpe,134381.721
2025-12-31T04:00:00,2025-12-31T05:00:00,Parcel- og rækkehuse,Andet,429048.309
2025-12-31T04:00:00,2025-12-31T05:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,391284.811
2025-12-31T04:00:00,2025-12-31T05:00:00,Ukendt,Andet,81028.944
2025-12-31T04:00:00,2025-12-31T05:00:00,Ukendt,Elvarme eller varmepumpe,79125.554
2025-12-31T03:00:00,2025-12-31T04:00:00,Andet,Andet,68268.332
2025-12-31T03:00:00,2025-12-31T04:00:00,Andet,Elvarme eller varmepumpe,10021.742
2025-12-31T03:00:00,2025-12-31T04:00:00,Etageejendom,Andet,93876.615
2025-12-31T03:00:00,2025-12-31T04:00:00,Etageejendom,Elvarme eller varmepumpe,6213.22
2025-12-31T03:00:00,2025-12-31T04:00:00,Fritidshuse,Andet,9505.628
2025-12-31T03:00:00,2025-12-31T04:00:00,Fritidshuse,Elvarme eller varmepumpe,140028.399
2025-12-31T03:00:00,2025-12-31T04:00:00,Parcel- og rækkehuse,Andet,564899.046
2025-12-31T03:00:00,2025-12-31T04:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,434779.412
2025-12-31T03:00:00,2025-12-31T04:00:00,Ukendt,Andet,104972.893
2025-12-31T03:00:00,2025-12-31T04:00:00,Ukendt,Elvarme eller varmepumpe,87235.859
2025-12-31T02:00:00,2025-12-31T03:00:00,Andet,Andet,71818.148
2025-12-31T02:00:00,2025-12-31T03:00:00,Andet,Elvarme eller varmepumpe,10345.0
2025-12-31T02:00:00,2025-12-31T03:00:00,Etageejendom,Andet,99594.697
2025-12-31T02:00:00,2025-12-31T03:00:00,Etageejendom,Elvarme eller varmepumpe,6404.032
2025-12-31T02:00:00,2025-12-31T03:00:00,Fritidshuse,Andet,9784.508
2025-12-31T02:00:00,2025-12-31T03:00:00,Fritidshuse,Elvarme eller varmepumpe,142956.943
2025-12-31T02:00:00,2025-12-31T03:00:00,Parcel- og rækkehuse,Andet,645819.409
2025-12-31T02:00:00,2025-12-31T03:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,458068.624
2025-12-31T02:00:00,2025-12-31T03:00:00,Ukendt,Andet,119290.428
2025-12-31T02:00:00,2025-12-31T03:00:00,Ukendt,Elvarme eller varmepumpe,90705.047
2025-12-31T01:00:00,2025-12-31T02:00:00,Andet,Andet,73605.371
